system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 8, 2018",25.562,
"Jan 8, 2018",,1.96
"Jan 9, 2018",25.885,
"Jan 9, 2018",,0.42
"Feb 8, 2018",25.71,
"Feb 8, 2018",,0.253
"Feb 9, 2018",25.39,
"Feb 9, 2018",,0.262
"Mar 8, 2018",24.638,
"Mar 8, 2018",,0.162
"Mar 9, 2018",25.421,
"Mar 9, 2018",,0.321
"Apr 8, 2018",25.11,
"Apr 8, 2018",,0.365
"Apr 9, 2018",26.276,
"Apr 9, 2018",,0.405
"May 8, 2018",26.445,
"May 8, 2018",,1.53
"May 9, 2018",26.854,
"May 9, 2018",,0.822
"Jun 8, 2018",27.35,
"Jun 8, 2018",,0.291
"Jun 9, 2018",27.756,
"Jun 9, 2018",,0.219
"Jul 8, 2018",27.545,
"Jul 8, 2018",,0.359
"Jul 9, 2018",27.914,
"Jul 9, 2018",,0.291
"Aug 8, 2018",28.061,
"Aug 8, 2018",,0.749
"Aug 9, 2018",28.018,
"Aug 9, 2018",,0.359
"Sep 8, 2018",28.111,
"Sep 8, 2018",,0.653
"Sep 9, 2018",27.806,
"Sep 9, 2018",,0.918
"Oct 8, 2018",27.81,
"Oct 8, 2018",,0.602
"Oct 9, 2018",27.513,
"Oct 9, 2018",,1.592
"Nov 8, 2018",27.358,
"Nov 8, 2018",,0.967
"Nov 9, 2018",27.241,
"Nov 9, 2018",,0.427
"Dec 8, 2018",27.127,
"Dec 8, 2018",,0.43
"Dec 9, 2018",26.545,
"Dec 9, 2018",,0.565
"Jan 8, 2019",25.36,
"Jan 8, 2019",,0.431
"Jan 9, 2019",25.494,
"Jan 9, 2019",,0.261
"Feb 8, 2019",25.17,
"Feb 8, 2019",,0.691
"Feb 9, 2019",25.615,
"Feb 9, 2019",,0.149
"Mar 8, 2019",25.525,
"Mar 8, 2019",,0.472
"Mar 9, 2019",25.319,
"Mar 9, 2019",,0.587
"Apr 8, 2019",25.668,
"Apr 8, 2019",,0.988
"Apr 9, 2019",26.242,
"Apr 9, 2019",,0.636
"May 8, 2019",26.624,
"May 8, 2019",,0.505
"May 9, 2019",27.093,
"May 9, 2019",,1.181
"Jun 8, 2019",26.641,
"Jun 8, 2019",,2.771
"Jun 9, 2019",27.842,
"Jun 9, 2019",,0.639
"Jul 8, 2019",28.416,
"Jul 8, 2019",,0.213
"Jul 9, 2019",28.071,
"Jul 9, 2019",,0.765
"Aug 8, 2019",28.464,
"Aug 8, 2019",,0.413
"Aug 9, 2019",28.583,
"Aug 9, 2019",,0.927
"Sep 8, 2019",28.825,
"Sep 8, 2019",,1.173
"Sep 9, 2019",28.618,
"Sep 9, 2019",,0.51
"Oct 8, 2019",27.949,
"Oct 8, 2019",,3.634
"Oct 9, 2019",27.5,
"Oct 9, 2019",,3.598
"Nov 8, 2019",27.875,
"Nov 8, 2019",,0.736
"Nov 9, 2019",27.662,
"Nov 9, 2019",,0.606
"Dec 8, 2019",27.026,
"Dec 8, 2019",,0.966
"Dec 9, 2019",26.411,
"Dec 9, 2019",,0.433
"Jan 8, 2020",26.661,
"Jan 8, 2020",,0.051
"Jan 9, 2020",25.288,
"Jan 9, 2020",,0.109
"Feb 8, 2020",25.963,
"Feb 8, 2020",,0.172
"Feb 9, 2020",25.905,
"Feb 9, 2020",,0.321
"Mar 8, 2020",25.55,
"Mar 8, 2020",,0.592
"Mar 9, 2020",25.431,
"Mar 9, 2020",,0.112
"Apr 8, 2020",25.597,
"Apr 8, 2020",,0.1
"Apr 9, 2020",26.624,
"Apr 9, 2020",,0.361
"May 8, 2020",26.918,
"May 8, 2020",,0.667
"May 9, 2020",27.657,
"May 9, 2020",,0.29
"Jun 8, 2020",27.756,
"Jun 8, 2020",,0.636
"Jun 9, 2020",27.808,
"Jun 9, 2020",,0.506
"Jul 8, 2020",28.356,
"Jul 8, 2020",,0.246
